step	loss
0	1.9199851751327515
1	1.9209402799606323
2	1.908200979232788
3	1.8258880376815796
4	1.6902759075164795
5	1.5892438888549805
6	1.5080325603485107
7	1.4572314023971558
8	1.4102667570114136
9	1.3940680027008057
10	1.3538872003555298
11	1.3398257493972778
12	1.3229292631149292
13	1.3043456077575684
14	1.2812628746032715
15	1.27677321434021
16	1.264689564704895
17	1.263018250465393
18	1.2425507307052612
19	1.236244797706604
20	1.2251468896865845
21	1.2200868129730225
22	1.2108933925628662
23	1.187156081199646
24	1.1808769702911377
25	1.1815941333770752
26	1.1729544401168823
27	1.1645575761795044
28	1.1654880046844482
29	1.1495400667190552
30	1.1426498889923096
31	1.1469683647155762
32	1.126753568649292
33	1.1330934762954712
34	1.1279939413070679
35	1.1135919094085693
36	1.1072111129760742
37	1.1013720035552979
38	1.0963644981384277
39	1.0931708812713623
40	1.0815483331680298
41	1.0703874826431274
42	1.0700582265853882
